Timestamp,What is your age?,"On average, how many hours of sleep do you get per night? (to 1 d.p.)","Each week, how many nights do you sleep for less than 6 hours?",How many times do you usually wake up during the night?,How would you describe your overall sleep quality?,Do you feel emotionally stable?,Do you feel happy often?,How energetic do you feel daily?,"How often do you feel stressed because of school, studies, or assignments?",Which of the following best describes your usual mood after a night of poor sleep?,How often does poor sleep affect your ability to concentrate during lessons or studying?,What is the main factor that usually affects your sleep?,"When you get enough sleep, how would you describe your mental well-being the next day?"
6/24/2026 8:18:18,20,6,3,1,2,5,3,2,Often,Tired but okay,Always,Screen time,Much better
6/24/2026 8:20:17,19,5,4,1,2,3,3,2,Always,Unmotivated,Always,Screen time,Slightly better
6/25/2026 8:26:35,18,4.5,5,0,3,2,2,2,Always,Unmotivated,Often,Schoolwork,Slightly better
6/25/2026 8:27:26,20,7,3,1,4,4,4,3,Often,Tired but okay,Sometimes,Schoolwork,Slightly better
6/25/2026 8:28:46,21,4,7,2,2,2,3,2,Often,Irritable,Always,Part-time work,Much better
6/25/2026 8:30:25,19,8,0,1,4,4,4,3,Sometimes,Tired but okay,Sometimes,Schoolwork,Not much difference
6/25/2026 8:31:02,19,7.2,1,0,3,5,4,3,Sometimes,Tired but okay,Sometimes,Schoolwork,Slightly better
6/25/2026 8:31:38,17,7.5,2,0,4,4,4,3,Sometimes,Irritable,Sometimes,Schoolwork,Slightly better
6/25/2026 8:34:44,18,6.5,2,1,3,5,4,3,Often,Tired but okay,Often,Schoolwork,Much better
6/25/2026 8:36:32,19,6,3,0,2,2,3,3,Often,Irritable,Sometimes,Stress/anxiety,Slightly better
6/25/2026 9:07:55,20,7,1,1,3,3,4,4,Often,Tired but okay,Often,Stress/anxiety,Much better
6/25/2026 9:11:14,19,8,0,0,4,4,4,3,Sometimes,No major change,Rarely,Screen time,Much better
6/25/2026 9:11:47,19,6,3,0,4,1,3,2,Always,Anxious,Often,Stress/anxiety,Slightly better
6/25/2026 9:12:04,18,6.5,7,1,4,3,3,4,Often,Tired but okay,Often,Stress/anxiety,Slightly better
6/25/2026 9:30:53,17,6.5,2,1,3,2,4,3,Often,Tired but okay,Often,Schoolwork,Slightly worse
6/25/2026 9:37:12,21,6.5,2,2,2,4,3,2,Always,Unmotivated,Often,Stress/anxiety,Slightly better
6/25/2026 9:57:15,19,3,7,3,1,3,4,2,Often,Tired but okay,Sometimes,Stress/anxiety,Slightly worse
6/25/2026 10:04:52,19,6.2,2,0,4,5,5,4,Rarely,Unmotivated,Often,Screen time,Much better
6/25/2026 10:08:01,18,7,0,0,4,5,5,5,Rarely,Sad,Rarely,Stress/anxiety,Much better
6/25/2026 10:17:43,19,7,2,0,4,5,3,4,Sometimes,No major change,Often,Screen time,Much better
6/25/2026 11:16:54,20,7,1,1,3,3,3,3,Sometimes,Irritable,Sometimes,Screen time,Slightly better
6/25/2026 11:18:17,19,6,6,1,2,4,4,2,Often,Tired but okay,Often,Social activities,Slightly better
6/25/2026 11:21:37,18,7,2,1,3,5,3,2,Often,Unmotivated,Often,Schoolwork,Much better
6/25/2026 11:26:12,18,5.3,4,0,3,4,4,2,Often,Tired but okay,Sometimes,Schoolwork,Not much difference
6/25/2026 11:30:01,20,5,5,0,2,3,3,3,Always,Tired but okay,Sometimes,Stress/anxiety,Not much difference
6/25/2026 11:34:44,19,7,2,0,3,4,2,2,Often,Tired but okay,Often,Schoolwork,Slightly better
6/25/2026 11:55:30,19,5.5,3,0,3,3,3,3,Sometimes,Tired but okay,Rarely,Schoolwork,Not much difference
6/25/2026 12:37:03,20,8,3,1,2,2,4,3,Often,Tired but okay,Rarely,Stress/anxiety,Much worse
6/25/2026 13:35:37,18,8.5,1,0,3,2,2,2,Often,Anxious,Always,Stress/anxiety,Slightly better
6/25/2026 15:24:59,18,4.2,4,0,5,2,3,2,Always,Irritable,Rarely,Screen time,Not much difference
6/25/2026 16:14:37,18,4,6,0,2,2,3,2,Always,Tired but okay,Often,Screen time,Slightly better
6/25/2026 16:36:08,19,5,5,0,4,4,4,3,Sometimes,Anxious,Sometimes,Screen time,Slightly better
6/28/2026 0:55:16,17,5,5,0,2,2,2,1,Always,Sad,Often,Family issues,Slightly better
6/29/2026 8:12:30,20,7,3,0,3,3,3,2,Often,Unmotivated,Often,Schoolwork,Slightly better
7/1/2026 10:57:42,17,5,4,1,2,3,3,1,Sometimes,Irritable,Always,Part-time work,Much better
7/1/2026 11:01:57,20,8,2,0,4,4,3,4,Sometimes,Tired but okay,Often,Screen time,Much better
7/1/2026 11:02:46,18,3,7,0,1,3,3,1,Often,Unmotivated,Always,Screen time,Not much difference
7/1/2026 11:04:23,21,7,3,1,4,5,3,3,Rarely,Tired but okay,Always,Part-time work,Much better
7/1/2026 11:06:48,19,6,3,0,2,4,3,2,Always,Unmotivated,Always,Schoolwork,Much better
7/1/2026 11:08:12,18,5,3,0,1,3,2,2,Always,Unmotivated,Always,Schoolwork,Much better
7/1/2026 11:13:01,21,9,0,1,5,4,4,4,Rarely,Tired but okay,Often,Screen time,Much better
7/1/2026 11:16:57,20,7,2,1,4,4,3,3,Often,Tired but okay,Always,Screen time,Much better
7/2/2026 20:31:42,20,7.5,3,0,3,4,3,3,Often,Tired but okay,Sometimes,Schoolwork,Much better
7/4/2026 8:52:05,18,7,0,0,5,4,4,3,Sometimes,Unmotivated,Sometimes,Schoolwork,Not much difference
7/5/2026 15:50:48,20,7,3,0,3,3,3,3,Often,Irritable,Always,Screen time,Much better
7/6/2026 7:34:18,20,4,7,0,1,2,2,1,Often,Anxious,Sometimes,Screen time,Slightly better
7/6/2026 16:45:15,18,7,2,0,3,4,3,3,Sometimes,Tired but okay,Always,Schoolwork,Much better
7/6/2026 16:47:06,20,8,1,1,4,4,4,4,Often,Unmotivated,Always,Screen time,Much better
7/8/2026 23:03:08,20,7,1,0,4,4,3,4,Often,Tired but okay,Often,Schoolwork,Much better
7/9/2026 12:59:19,21,6,3,1,2,3,3,2,Rarely,Unmotivated,Always,Screen time,Much better
